"site","plant_id","transect_no","quadrat_no","date_mm.dd.yyyy","sample_weight_mg","extract_volume_mL","n490_1","n490_2","comment","n490_avg","sugar_ugmg","sugar_ugg","sugar_mgg","bladeNum","fileName","prevelance","severity","lesionArea","healthyArea","correctNum","shoot"
"False Bay",1,1,1,"7/2/19",51.5,10,0.926,0.918,"",0.922,368.84905631068,368849.05631068,368.84905631068,0,"belowground_False_Bay_FalseBay_001",1,0.283185343,22.4540224,7906.63657,TRUE,1
"False Bay",2,1,2,"7/2/19",50.6,10,0.769,0.78,"",0.7745,314.426816205534,314426.816205534,314.426816205534,0,"belowground_False_Bay_FalseBay_002",1,1.560041753,100.6475936,6350.94855,TRUE,2
"False Bay",3,1,3,"7/2/19",52.2,10,0.85,0.897,"",0.8735,344.465454022989,344465.454022989,344.465454022989,0,"belowground_False_Bay_FalseBay_003",0,0,0,3883.708119,TRUE,3
"False Bay",4,1,4,"7/2/19",52.6,10,0.811,0.871,"",0.841,328.919965779468,328919.965779468,328.919965779468,0,"belowground_False_Bay_FalseBay_018_ACTUALLY_T2.03",1,5.009658112,395.0991085,7491.648843,TRUE,3
"False Bay",5,1,5,"7/2/19",52.3,10,0.819,0.829,"",0.824,324.006630975143,324006.630975143,324.006630975143,0,"belowground_False_Bay_FalseBay_004",0,0,0,4695.55676,TRUE,4
"False Bay",6,1,6,"7/2/19",51.5,10,0.998,1.018,"",1.008,403.783759223301,403783.759223301,403.783759223301,0,"belowground_False_Bay_FalseBay_019_ACTUALLY_T2.04",0,0,0,7231.059935,TRUE,4
"False Bay",7,1,7,"7/2/19",52,10,0.808,0.805,"",0.8065,318.835448076923,318835.448076923,318.835448076923,0,"belowground_False_Bay_FalseBay_005",0,0,0,4442.011476,TRUE,5
"False Bay",8,1,8,"7/2/19",50.8,10,0.886,0.944,"",0.915,371.048917322835,371048.917322835,371.048917322835,0,"belowground_False_Bay_FalseBay_006",0,0,0,6481.868624,TRUE,6
"False Bay",9,1,9,"7/2/19",52.4,10,1.006,1.01,"",1.008,396.848541984733,396848.541984733,396.848541984733,0,"belowground_False_Bay_FalseBay_007",1,0.721382488,44.8720896,6175.418859,TRUE,7
"False Bay",10,1,10,"7/2/19",50.9,10,0.884,0.883,"",0.8835,357.37325540275,357373.255402751,357.37325540275,0,"belowground_False_Bay_FalseBay_008",0,0,0,7770.506588,TRUE,8
"False Bay",11,1,11,"7/2/19",50.6,10,0.885,0.848,"",0.8665,352.463543478261,352463.543478261,352.463543478261,0,"belowground_False_Bay_FalseBay_009",0,0,0,6007.4883,TRUE,9
"False Bay",12,1,12,"7/2/19",50.8,10,0.746,0.73,"",0.738,298.157669291339,298157.669291339,298.157669291339,0,"belowground_False_Bay_FalseBay_010",1,2.337467132,106.51728,4450.435779,TRUE,10
"False Bay",13,1,13,"7/2/19",51.2,10,0.921,0.899,"",0.91,366.107109375,366107.109375,366.107109375,0,"belowground_False_Bay_FalseBay_011",1,1.045478178,91.78643456,8687.58711,TRUE,11
"False Bay",14,1,14,"7/2/19",50.5,10,0.796,0.829,"",0.8125,330.791376237624,330791.376237624,330.791376237624,0,"belowground_False_Bay_FalseBay_012",1,1.20714655,85.7891072,7020.979095,TRUE,12
"False Bay",15,1,15,"7/2/19",50.2,10,0.827,0.811,"",0.819,335.477007968128,335477.007968127,335.477007968128,0,"belowground_False_Bay_FalseBay_013",1,1.757361683,153.7785926,8596.758881,TRUE,13
"False Bay",16,2,1,"7/2/19",50.5,10,0.894,0.895,"",0.8945,364.76080990099,364760.80990099,364.76080990099,0,"belowground_False_Bay_FalseBay_014",1,1.31028025,168.6982029,12706.27285,TRUE,14
"False Bay",17,2,2,"7/2/19",51.6,10,0.58,0.581,"",0.5805,229.679808139535,229679.808139535,229.679808139535,0,"belowground_False_Bay_FalseBay_015",1,16.19069551,1246.284536,6451.250973,TRUE,15
"False Bay",18,2,3,"7/2/19",50,10,0.905,0.916,"",0.9105,375.102882,375102.882,375.102882,0,"belowground_False_Bay_FalseBay_016",1,11.47765424,673.5415706,5194.744374,TRUE,16
"False Bay",19,2,4,"7/2/19",51.1,10,0.811,0.851,"",0.831,334.481178082192,334481.178082192,334.481178082192,0,"belowground_False_Bay_FalseBay_017",1,0.250683401,10.5528512,4199.080167,TRUE,17
"False Bay",20,2,5,"7/2/19",50.3,10,0.644,0.686,"",0.665,270.76013916501,270760.13916501,270.76013916501,0,"belowground_False_Bay_FalseBay_020",1,4.13997763,323.9851162,7501.784614,TRUE,20
"False Bay",21,2,6,"7/2/19",51.1,14,0.584,0.605,"",0.5945,237.658726027397,237658.726027397,237.658726027397,0,"belowground_False_Bay_FalseBay_021",1,0.064908425,4.7101312,7251.869007,TRUE,21
"False Bay",22,2,7,"7/2/19",50.7,14,0.808,0.824,"",0.816,330.930674556213,330930.674556213,330.930674556213,0,"belowground_False_Bay_FalseBay_022",0,0,0,6719.654744,TRUE,22
"False Bay",23,2,8,"7/2/19",52.4,14,0.808,0.802,"",0.805,315.802729007634,315802.729007634,315.802729007634,0,"belowground_False_Bay_FalseBay_023",1,2.973328939,227.8840576,7436.389296,TRUE,23
"False Bay",24,2,9,"7/2/19",52,14,0.668,0.667,"",0.6675,262.914144230769,262914.144230769,262.914144230769,0,"belowground_False_Bay_FalseBay_024",0,0,0,9013.547964,TRUE,24
"False Bay",25,2,10,"7/2/19",50.6,14,0.815,0.829,"",0.822,334.065343873518,334065.343873518,334.065343873518,0,"belowground_False_Bay_FalseBay_025",1,3.425443882,248.5097581,7006.309373,TRUE,25
"False Bay",26,2,11,"7/2/19",51.6,14,0.629,0.647,"",0.638,252.992046511628,252992.046511628,252.992046511628,0,"belowground_False_Bay_FalseBay_026",1,5.233612761,139.1646016,2519.88963,TRUE,26
"False Bay",27,2,12,"7/2/19",50.6,14,0.864,0.855,"",0.8595,349.569444664032,349569.444664032,349.569444664032,0,"belowground_False_Bay_FalseBay_027",0,0,0,6572.330109,TRUE,27
"False Bay",28,2,13,"7/2/19",50.9,14,0.665,0.681,"",0.673,270.856514734774,270856.514734774,270.856514734774,0,"belowground_False_Bay_FalseBay_028",0,0,0,6443.691393,TRUE,28
