site,date,transect_no,quadrat_no,replicate,tray_no,blade_length_cm,rhizome_length_cm,plant_id
False Bay,07/02/19,1,1,1,1,112,15,1
False Bay,07/02/19,1,1,2,2,81.5,15,2
False Bay,07/02/19,1,1,3,3,83,15,3
False Bay,07/02/19,1,1,4,4,83.2,15,4
False Bay,07/02/19,1,1,5,5,73.8,10.1,5
False Bay,07/02/19,1,2,1,6,100,15,6
False Bay,07/02/19,1,2,2,7,90,15,7
False Bay,07/02/19,1,2,3,8,115,15,8
False Bay,07/02/19,1,2,4,9,108.2,15,9
False Bay,07/02/19,1,2,5,10,85,15,10
False Bay,07/02/19,1,3,1,11,121.4,15,11
False Bay,07/02/19,1,3,2,12,109,15,12
False Bay,07/02/19,1,3,3,13,114,15,13
False Bay,07/02/19,1,3,4,14,135.2,15,14
False Bay,07/02/19,1,3,5,15,105.8,15,15
False Bay,07/02/19,2,1,1,1,97,15,16
False Bay,07/02/19,2,1,2,2,72.5,15,17
False Bay,07/02/19,2,1,3,3,110.4,15,18
False Bay,07/02/19,2,1,4,4,98.4,15,19
False Bay,07/02/19,2,1,5,5,101,15,20
False Bay,07/02/19,2,2,1,6,98.2,15,21
False Bay,07/02/19,2,2,2,7,102.2,15,22
False Bay,07/02/19,2,2,3,8,105,15,23
False Bay,07/02/19,2,2,4,9,112.6,15,24
False Bay,07/02/19,2,2,5,10,104.9,15,25
False Bay,07/02/19,2,3,1,11,62.4,15,26
False Bay,07/02/19,2,3,2,12,107.9,15,27
False Bay,07/02/19,2,3,3,13,93.4,15,28
False Bay,07/02/19,2,3,4,14,103,15,29
False Bay,07/02/19,2,3,5,15,81.4,15,30
False Bay,07/02/19,3,1,1,1,89.2,15,31
False Bay,07/02/19,3,1,2,2,119.4,15,32
False Bay,07/02/19,3,1,3,3,99,15,33
False Bay,07/02/19,3,1,4,4,82,15,34
False Bay,07/02/19,3,1,5,5,90,15,35
False Bay,07/02/19,3,2,1,6,125,15,36
False Bay,07/02/19,3,2,2,7,115.4,15,37
False Bay,07/02/19,3,2,3,8,133.4,15,38
False Bay,07/02/19,3,2,4,9,86,15,39
False Bay,07/02/19,3,2,5,10,132.5,15,40
False Bay,07/02/19,3,3,1,11,123.4,15,41
False Bay,07/02/19,3,3,2,12,119,15,42
False Bay,07/02/19,3,3,3,13,132,15,43
False Bay,07/02/19,3,3,4,14,130.4,15,44
False Bay,07/02/19,3,3,5,15,113.6,15,45
Indian Cove,07/03/19,1,1,1,1,101,15,46
Indian Cove,07/03/19,1,1,2,2,148.3,15,47
Indian Cove,07/03/19,1,1,3,3,130.2,15,48
Indian Cove,07/03/19,1,1,4,4,138.4,15,49
Indian Cove,07/03/19,1,1,5,5,156.2,15,50
Indian Cove,07/03/19,1,2,1,6,147.9,15,51
Indian Cove,07/03/19,1,2,2,7,157.2,15,52
Indian Cove,07/03/19,1,2,3,8,172,15,53
Indian Cove,07/03/19,1,2,4,9,165,15,54
Indian Cove,07/03/19,1,2,5,10,118,15,55
Indian Cove,07/03/19,1,3,1,11,156,15,56
Indian Cove,07/03/19,1,3,2,12,195.8,15,57
Indian Cove,07/03/19,1,3,3,13,181.5,15,58
Indian Cove,07/03/19,1,3,4,14,157.2,15,59
Indian Cove,07/03/19,1,3,5,15,157.6,15,60
Indian Cove,07/03/19,2,1,1,1,167.8,15,61
Indian Cove,07/03/19,2,1,2,2,192.2,15,62
Indian Cove,07/03/19,2,1,3,3,177,15,63
Indian Cove,07/03/19,2,1,4,4,174,15,64
Indian Cove,07/03/19,2,1,5,5,153.8,15,65
Indian Cove,07/03/19,2,2,1,6,170.4,15,66
Indian Cove,07/03/19,2,2,2,7,141.2,15,67
Indian Cove,07/03/19,2,2,3,8,141.2,15,68
Indian Cove,07/03/19,2,2,4,9,137,15,69
Indian Cove,07/03/19,2,2,5,10,149,15,70
Indian Cove,07/03/19,2,3,1,11,157.6,15,71
Indian Cove,07/03/19,2,3,2,12,149,15,72
Indian Cove,07/03/19,2,3,3,13,127.2,15,73
Indian Cove,07/03/19,2,3,4,14,134.4,15,74
Indian Cove,07/03/19,2,3,5,15,138.8,15,75
Indian Cove,07/03/19,3,1,1,1,142,15,76
Indian Cove,07/03/19,3,1,2,2,152,15,77
Indian Cove,07/03/19,3,1,3,3,135.7,15,78
Indian Cove,07/03/19,3,1,4,4,155.6,15,79
Indian Cove,07/03/19,3,1,5,5,161,15,80
Indian Cove,07/03/19,3,2,1,6,153.4,15,81
Indian Cove,07/03/19,3,2,2,7,120,15,82
Indian Cove,07/03/19,3,2,3,8,183,15,83
Indian Cove,07/03/19,3,2,4,9,74.5,15,84
Indian Cove,07/03/19,3,2,5,10,134.2,15,85
Indian Cove,07/03/19,3,3,1,11,161,15,86
Indian Cove,07/03/19,3,3,2,12,167,15,87
Indian Cove,07/03/19,3,3,3,13,175.6,15,88
Indian Cove,07/03/19,3,3,4,14,166.5,15,89
Indian Cove,07/03/19,3,3,5,15,162.3,15,90
4th of July Beach,07/05/19,1,1,1,1,83,15,91
4th of July Beach,07/05/19,1,1,2,2,70.6,15,92
4th of July Beach,07/05/19,1,1,3,3,61,15,93
4th of July Beach,07/05/19,1,1,4,4,83.6,15,94
