site,date,tidal_elevation_ft_mllw,transect_no,quadrat_no,density_shoot_0.25m2,density_flower_0.25m2,total_density_0.25m2,shoots.m2
False Bay,02 July 2019,2,1,1,24,1,25,100
False Bay,02 July 2019,2,1,2,34,0,34,136
False Bay,02 July 2019,2,1,3,18,1,19,76
False Bay,02 July 2019,2,2,1,20,0,20,80
False Bay,02 July 2019,2,2,2,30,0,30,120
False Bay,02 July 2019,2,2,3,16,0,16,64
False Bay,02 July 2019,2,3,1,27,0,27,108
False Bay,02 July 2019,2,3,2,32,0,32,128
False Bay,02 July 2019,2,3,3,36,0,36,144
Indian Cove,03 July 2019,2,1,1,29,0,29,116
Indian Cove,03 July 2019,2,1,2,23,1,24,96
Indian Cove,03 July 2019,2,1,3,26,2,28,112
Indian Cove,03 July 2019,2,2,1,37,0,37,148
Indian Cove,03 July 2019,2,2,2,27,0,27,108
Indian Cove,03 July 2019,2,2,3,22,0,22,88
Indian Cove,03 July 2019,2,3,1,17,0,17,68
Indian Cove,03 July 2019,2,3,2,29,3,32,128
Indian Cove,03 July 2019,2,3,3,15,0,15,60
4th of July Beach,05 July 2019,2,1,1,16,1,17,68
4th of July Beach,05 July 2019,2,1,2,13,1,14,56
4th of July Beach,05 July 2019,2,1,3,12,0,12,48
4th of July Beach,05 July 2019,2,2,1,22,0,22,88
4th of July Beach,05 July 2019,2,2,2,0,0,0,0
4th of July Beach,05 July 2019,2,2,3,10,1,11,44
4th of July Beach,05 July 2019,2,3,1,15,6,21,84
4th of July Beach,05 July 2019,2,3,2,15,1,16,64
4th of July Beach,05 July 2019,2,3,3,19,3,22,88
